
CodeIgniter v4.1.8 Command Line Tool - Server Time: 2022-02-18 21:11:45 UTC-06:00

+--------+-------------------------------------------+---------------------------------------------------------------------------------+
| Method | Route                                     | Handler                                                                         |
| GET    | api/wilayahs/(.*)                         | \App\Modules\Api\Controllers\Wilayahs::show/$1                                  |
| GET    | api/members                               | \App\Modules\Api\Controllers\Members::index                                     |
| GET    | api/members/new                           | \App\Modules\Api\Controllers\Members::new                                       |
| GET    | api/members/(.*)/edit                     | \App\Modules\Api\Controllers\Members::edit/$1                                   |
| GET    | api/members/(.*)                          | \App\Modules\Api\Controllers\Members::show/$1                                   |
| GET    | admin                                     | \Bonfire\Controllers\Dashboard::index                                           |
| GET    | admin/settings/email                      | \Bonfire\Modules\Email\Controllers\EmailSettingsController::index               |
| GET    | admin/settings/users                      | \Bonfire\Modules\Users\Controllers\UserSettingsController::index                |
| GET    | admin/users                               | \Bonfire\Modules\Users\Controllers\UserController::list                         |
| GET    | admin/users/new                           | \Bonfire\Modules\Users\Controllers\UserController::create                       |
| GET    | admin/users/([0-9]+)                      | \Bonfire\Modules\Users\Controllers\UserController::edit/$1                      |
| GET    | admin/users/([0-9]+)/delete               | \Bonfire\Modules\Users\Controllers\UserController::delete/$1                    |
| GET    | admin/users/([0-9]+)/security             | \Bonfire\Modules\Users\Controllers\UserController::security/$1                  |
| GET    | admin/users/([0-9]+)/permissions          | \Bonfire\Modules\Users\Controllers\UserController::permissions/$1               |
| GET    | admin/settings/groups                     | \Bonfire\Modules\Groups\Controllers\GroupSettingsController::list               |
| GET    | admin/settings/groups/([^/]+)             | \Bonfire\Modules\Groups\Controllers\GroupSettingsController::show/$1            |
| GET    | admin/settings/groups/([^/]+)/permissions | \Bonfire\Modules\Groups\Controllers\GroupSettingsController::permissions/$1     |
| GET    | assets/(.*)                               | \Bonfire\Assets\Controllers\AssetController::serve/$1                           |
| GET    | admin/tools/system-info                   | \Bonfire\Tools\Controllers\SystemInfoController::index                          |
| GET    | admin/tools/php-info                      | \Bonfire\Tools\Controllers\SystemInfoController::phpInfo                        |
| GET    | admin/tools/logs                          | \Bonfire\Tools\Controllers\LogsController::index                                |
| GET    | admin/tools/view-log/([^/]+)              | \Bonfire\Tools\Controllers\LogsController::view/$1                              |
| GET    | admin/settings/general                    | \Bonfire\Modules\Settings\Controllers\GeneralSettingsController::general        |
| GET    | admin/settings/timezones                  | \Bonfire\Modules\Settings\Controllers\GeneralSettingsController::getTimezones   |
| GET    | admin/guides                              | \Bonfire\Guides\Controllers\GuidesController::viewCollections                   |
| GET    | admin/guides/([^/]+)                      | \Bonfire\Guides\Controllers\GuidesController::viewCollection/$1                 |
| GET    | admin/guides/([^/]+)/(.*)                 | \Bonfire\Guides\Controllers\GuidesController::viewSingle/$1/$2                  |
| GET    | admin/recycler                            | \Bonfire\Recycler\Controllers\RecycleController::viewResource                   |
| GET    | admin/recycler/restore/([^/]+)/([0-9]+)   | \Bonfire\Recycler\Controllers\RecycleController::restore/$1/$2                  |
| GET    | admin/recycler/purge/([^/]+)/([0-9]+)     | \Bonfire\Recycler\Controllers\RecycleController::purge/$1/$2                    |
| GET    | admin/settings/consent                    | \Bonfire\Consent\Controllers\ConsentSettingsController::index                   |
| GET    | admin/settings/widgets                    | \Bonfire\Widgets\Controllers\WidgetsSettingsController::index                   |
| GET    | admin/settings/widgets/([^/]+)            | \Bonfire\Widgets\Controllers\WidgetsSettingsController::show/$1                 |
| GET    | admin/masjid/pengurus                     | \App\Modules\Masjid\Controllers\PengurusController::index                       |
| GET    | admin/masjid/pengurus/new                 | \App\Modules\Masjid\Controllers\PengurusController::new                         |
| GET    | admin/masjid/pengurus/(.*)/edit           | \App\Modules\Masjid\Controllers\PengurusController::edit/$1                     |
| GET    | admin/masjid/pengurus/(.*)                | \App\Modules\Masjid\Controllers\PengurusController::show/$1                     |
| GET    | admin/masjid/jabatan                      | \App\Modules\Masjid\Controllers\JabatanController::index                        |
| GET    | admin/masjid/jabatan/new                  | \App\Modules\Masjid\Controllers\JabatanController::new                          |
| GET    | admin/masjid/jabatan/(.*)/edit            | \App\Modules\Masjid\Controllers\JabatanController::edit/$1                      |
| GET    | admin/masjid/jabatan/(.*)                 | \App\Modules\Masjid\Controllers\JabatanController::show/$1                      |
| GET    | admin/masjid/wilayah                      | \App\Modules\Masjid\Controllers\WilayahController::index                        |
| GET    | admin/masjid/wilayah/new                  | \App\Modules\Masjid\Controllers\WilayahController::new                          |
| GET    | admin/masjid/wilayah/(.*)/edit            | \App\Modules\Masjid\Controllers\WilayahController::edit/$1                      |
| GET    | admin/masjid/wilayah/(.*)                 | \App\Modules\Masjid\Controllers\WilayahController::show/$1                      |
| GET    | admin/masjid/member                       | \App\Modules\Masjid\Controllers\MemberController::index                         |
| GET    | admin/masjid/member/new                   | \App\Modules\Masjid\Controllers\MemberController::new                           |
| GET    | admin/masjid/member/(.*)/edit             | \App\Modules\Masjid\Controllers\MemberController::edit/$1                       |
| GET    | admin/masjid/member/(.*)                  | \App\Modules\Masjid\Controllers\MemberController::show/$1                       |
| POST   | login/magic-link                          | \App\Controllers\Auth\MagicLinkController::loginAction                          |
| POST   | register                                  | \Sparks\Shield\Controllers\RegisterController::registerAction                   |
| POST   | login                                     | \Sparks\Shield\Controllers\LoginController::loginAction                         |
| POST   | auth/a/handle                             | \Sparks\Shield\Controllers\ActionController::handle                             |
| POST   | auth/a/verify                             | \Sparks\Shield\Controllers\ActionController::verify                             |
| POST   | api/auth/login                            | \App\Modules\Api\Controllers\Auth\LoginController::action                       |
| POST   | api/auth/register                         | \App\Modules\Api\Controllers\Auth\RegisterController::action                    |
| POST   | api/members/create                        | \App\Modules\Api\Controllers\Members::create                                    |
| POST   | api/users                                 | \App\Modules\Api\Controllers\Users::create                                      |
| POST   | api/jabatans                              | \App\Modules\Api\Controllers\Jabatans::create                                   |
| POST   | api/pengurus                              | \App\Modules\Api\Controllers\Pengurus::create                                   |
| POST   | api/wilayahs                              | \App\Modules\Api\Controllers\Wilayahs::create                                   |
| POST   | admin/settings/email                      | \Bonfire\Modules\Email\Controllers\EmailSettingsController::save                |
| POST   | admin/settings/users                      | \Bonfire\Modules\Users\Controllers\UserSettingsController::save                 |
| POST   | admin/users                               | \Bonfire\Modules\Users\Controllers\UserController::list                         |
| POST   | admin/users/([0-9]+)/save                 | \Bonfire\Modules\Users\Controllers\UserController::save/$1                      |
| POST   | admin/users/save                          | \Bonfire\Modules\Users\Controllers\UserController::save                         |
| POST   | admin/users/([0-9]+)/permissions          | \Bonfire\Modules\Users\Controllers\UserController::savePermissions/$1           |
| POST   | admin/settings/groups                     | \Bonfire\Modules\Groups\Controllers\GroupSettingsController::save               |
| POST   | admin/settings/groups/([^/]+)             | \Bonfire\Modules\Groups\Controllers\GroupSettingsController::save/$1            |
| POST   | admin/settings/groups/([^/]+)/permissions | \Bonfire\Modules\Groups\Controllers\GroupSettingsController::savePermissions/$1 |
| POST   | admin/tools/logs                          | \Bonfire\Tools\Controllers\LogsController::index                                |
| POST   | admin/tools/delete-log                    | \Bonfire\Tools\Controllers\LogsController::delete                               |
| POST   | admin/search                              | \Bonfire\Modules\Search\Controllers\SearchController::overview                  |
| POST   | admin/settings/general                    | \Bonfire\Modules\Settings\Controllers\GeneralSettingsController::saveGeneral    |
| POST   | admin/settings/consent                    | \Bonfire\Consent\Controllers\ConsentSettingsController::save                    |
| POST   | admin/settings/widgets                    | \Bonfire\Widgets\Controllers\WidgetsSettingsController::save                    |
| POST   | admin/settings/widgetsReset               | \Bonfire\Widgets\Controllers\WidgetsSettingsController::resetSettings           |
| POST   | admin/settings/widgets/schemePreview      | \Bonfire\Widgets\Controllers\WidgetsSettingsController::getColorSchemePreview   |
| POST   | admin/masjid/pengurus                     | \App\Modules\Masjid\Controllers\PengurusController::create                      |
| POST   | admin/masjid/jabatan                      | \App\Modules\Masjid\Controllers\JabatanController::create                       |
| POST   | admin/masjid/wilayah                      | \App\Modules\Masjid\Controllers\WilayahController::create                       |
| POST   | admin/masjid/member                       | \App\Modules\Masjid\Controllers\MemberController::create                        |
| PATCH  | api/users/(.*)                            | \App\Modules\Api\Controllers\Users::update/$1                                   |
| PATCH  | api/jabatans/(.*)                         | \App\Modules\Api\Controllers\Jabatans::update/$1                                |
| PATCH  | api/pengurus/(.*)                         | \App\Modules\Api\Controllers\Pengurus::update/$1                                |
| PATCH  | api/wilayahs/(.*)                         | \App\Modules\Api\Controllers\Wilayahs::update/$1                                |
| PATCH  | api/members/(.*)                          | \App\Modules\Api\Controllers\Members::update/$1                                 |
| PATCH  | admin/masjid/pengurus/(.*)                | \App\Modules\Masjid\Controllers\PengurusController::update/$1                   |
| PATCH  | admin/masjid/jabatan/(.*)                 | \App\Modules\Masjid\Controllers\JabatanController::update/$1                    |
| PATCH  | admin/masjid/wilayah/(.*)                 | \App\Modules\Masjid\Controllers\WilayahController::update/$1                    |
| PATCH  | admin/masjid/member/(.*)                  | \App\Modules\Masjid\Controllers\MemberController::update/$1                     |
| PUT    | api/users/(.*)                            | \App\Modules\Api\Controllers\Users::update/$1                                   |
| PUT    | api/jabatans/(.*)                         | \App\Modules\Api\Controllers\Jabatans::update/$1                                |
| PUT    | api/pengurus/(.*)                         | \App\Modules\Api\Controllers\Pengurus::update/$1                                |
| PUT    | api/wilayahs/(.*)                         | \App\Modules\Api\Controllers\Wilayahs::update/$1                                |
| PUT    | api/members/(.*)                          | \App\Modules\Api\Controllers\Members::update/$1                                 |
| PUT    | admin/masjid/pengurus/(.*)                | \App\Modules\Masjid\Controllers\PengurusController::update/$1                   |
| PUT    | admin/masjid/jabatan/(.*)                 | \App\Modules\Masjid\Controllers\JabatanController::update/$1                    |
| PUT    | admin/masjid/wilayah/(.*)                 | \App\Modules\Masjid\Controllers\WilayahController::update/$1                    |
| PUT    | admin/masjid/member/(.*)                  | \App\Modules\Masjid\Controllers\MemberController::update/$1                     |
| DELETE | api/users/(.*)                            | \App\Modules\Api\Controllers\Users::delete/$1                                   |
| DELETE | api/jabatans/(.*)                         | \App\Modules\Api\Controllers\Jabatans::delete/$1                                |
| DELETE | api/pengurus/(.*)                         | \App\Modules\Api\Controllers\Pengurus::delete/$1                                |
| DELETE | api/wilayahs/(.*)                         | \App\Modules\Api\Controllers\Wilayahs::delete/$1                                |
| DELETE | api/members/(.*)                          | \App\Modules\Api\Controllers\Members::delete/$1                                 |
| DELETE | admin/masjid/pengurus/(.*)                | \App\Modules\Masjid\Controllers\PengurusController::delete/$1                   |
| DELETE | admin/masjid/jabatan/(.*)                 | \App\Modules\Masjid\Controllers\JabatanController::delete/$1                    |
| DELETE | admin/masjid/wilayah/(.*)                 | \App\Modules\Masjid\Controllers\WilayahController::delete/$1                    |
| DELETE | admin/masjid/member/(.*)                  | \App\Modules\Masjid\Controllers\MemberController::delete/$1                     |
| CLI    | migrations/([^/]+)/([^/]+)                | \CodeIgniter\Commands\MigrationsCommand::$1/$2                                  |
| CLI    | migrations/([^/]+)                        | \CodeIgniter\Commands\MigrationsCommand::$1                                     |
| CLI    | migrations                                | \CodeIgniter\Commands\MigrationsCommand::index                                  |
| CLI    | ci(.*)                                    | \CodeIgniter\CLI\CommandRunner::index/$1                                        |
+--------+-------------------------------------------+---------------------------------------------------------------------------------+

